# policy-loadgen percentile distribution, latency in nanoseconds
# 2026-08-31T01:24:59Z  tag=reload-steady  offered_qps=100000  threads=2  mode=open-loop
Value,Percentile,TotalCount,1/(1-Percentile)
10127,0.000000666667,1,1.00
17503,0.100231333333,150347,1.11
18111,0.200154666667,300232,1.25
18575,0.302333333333,453500,1.43
18863,0.405229333333,607844,1.68
19167,0.503292000000,754938,2.01
19343,0.552636666667,828955,2.24
19535,0.603324000000,904986,2.52
19727,0.651072000000,976608,2.87
19983,0.702076666667,1053115,3.36
20367,0.751348666667,1127023,4.02
20655,0.775044666667,1162567,4.45
23103,0.800292000000,1200438,5.01
23711,0.825412000000,1238118,5.73
24207,0.850056000000,1275084,6.67
25919,0.875042666667,1312564,8.00
28959,0.887525333333,1331288,8.89
31759,0.900024000000,1350036,10.00
35231,0.912544000000,1368816,11.43
41887,0.925001333333,1387502,13.33
52255,0.937528666667,1406293,16.01
59871,0.943758000000,1415637,17.78
74047,0.950016000000,1425024,20.01
95807,0.956261333333,1434392,22.86
129919,0.962505333333,1443758,26.67
172031,0.968770000000,1453155,32.02
196863,0.971876000000,1457814,35.56
227455,0.975003333333,1462505,40.01
263423,0.978129333333,1467194,45.72
307967,0.981250666667,1471876,53.34
357119,0.984387333333,1476581,64.05
391679,0.985952000000,1478928,71.18
430079,0.987504666667,1481257,80.03
470783,0.989067333333,1483601,91.47
521215,0.990631333333,1485947,106.74
593407,0.992189333333,1488284,128.03
634879,0.992973333333,1489460,142.31
693759,0.993750666667,1490626,160.02
780799,0.994532666667,1491799,182.90
911871,0.995315333333,1492973,213.46
1086463,0.996095333333,1494143,256.10
1176575,0.996484666667,1494727,284.47
1269759,0.996875333333,1495313,320.03
1367039,0.997266666667,1495900,365.85
1546239,0.997658000000,1496487,426.99
2019327,0.998047333333,1497071,512.12
2555903,0.998242666667,1497364,569.04
2699263,0.998441333333,1497662,641.57
2914303,0.998638666667,1497958,734.57
3241983,0.998828666667,1498243,853.73
3770367,0.999024000000,1498536,1024.59
3899391,0.999122000000,1498683,1138.95
4243455,0.999219333333,1498829,1280.96
4673535,0.999317333333,1498976,1464.84
5500927,0.999414666667,1499122,1708.43
5734399,0.999513333333,1499270,2054.79
5836799,0.999562666667,1499344,2286.59
5971967,0.999611333333,1499417,2572.90
6123519,0.999659333333,1499489,2935.42
6316031,0.999708000000,1499562,3424.66
6586367,0.999756000000,1499634,4098.36
6701055,0.999780666667,1499671,4559.27
6778879,0.999805333333,1499708,5136.99
6852607,0.999831333333,1499747,5928.85
6918143,0.999856666667,1499785,6976.74
6955007,0.999878000000,1499817,8196.72
6967295,0.999892666667,1499839,9316.77
6987775,0.999904666667,1499857,10489.51
7012351,0.999917333333,1499876,12096.77
7041023,0.999927333333,1499891,13761.47
7106559,0.999939333333,1499909,16483.52
7139327,0.999945333333,1499918,18292.68
7204863,0.999951333333,1499927,20547.95
7245823,0.999958000000,1499937,23809.52
7266303,0.999965333333,1499948,28846.15
7282687,0.999971333333,1499957,34883.72
7286783,0.999972666667,1499959,36585.37
7303167,0.999976000000,1499964,41666.67
7319551,0.999979333333,1499969,48387.10
7348223,0.999983333333,1499975,60000.00
7372799,0.999985333333,1499978,68181.82
7401471,0.999987333333,1499981,78947.37
7409663,0.999988000000,1499982,83333.33
7417855,0.999990000000,1499985,100000.00
7426047,0.999991333333,1499987,115384.62
7434239,0.999992666667,1499989,136363.64
7438335,0.999994000000,1499991,166666.67
7450623,0.999994666667,1499992,187500.00
7458815,0.999996000000,1499994,250000.00
7471103,0.999997333333,1499996,375000.00
7479295,0.999998000000,1499997,500000.00
7495679,0.999998666667,1499998,750000.00
7507967,0.999999333333,1499999,1500000.00
7512063,1.000000000000,1500000,0.00
